Name,Type,Status,City,State_Province,Country,Latitude,Longitude,Google,Website,Facebook,Instagram,URL,Yelp,TripAdvisor,Untappd,GLINTCAP,ShopCiders,Alternate_Name,TTB
45 North Vineyard & Winery,Producer,Active,Lake Leelanau,Michigan,USA,45.002103,-85.681943,https://maps.google.com/?cid=11817740184078021050,https://fortyfivenorth.com/,https://www.facebook.com/fortyfivenorth,https://www.instagram.com/45northwinery/,https://fortyfivenorth.com/,https://www.yelp.com/biz/45-north-vineyard-and-winery-lake-leelanau,https://www.tripadvisor.com/Attraction_Review-g42381-d1748282,https://untappd.com/w/45-north-vineyard-and-winery/45228,http://glintcap.org/45-north-vineyard-winery/,,,MI-W-15052
JK's Farmhouse Ciders,Producer,Active,Flushing,Michigan,USA,43.0274314,-83.9112091,https://maps.google.com/?cid=9785317642581217954,http://jksfarmhouseciders.com/,https://www.facebook.com/jksfarmhouseciders,https://www.instagram.com/jksfarmhouseciders/,http://jksfarmhouseciders.com/,https://www.yelp.com/biz/almar-orchards-flushing-2,,https://untappd.com/w/jks-farmhouse-ciders/2931,http://glintcap.org/jks-farmhouse-ciders/,,"Almar Orchards, JK's Scrumpy",MI-W-21066
B. Nektar,Producer,Active,Ferndale,Michigan,USA,42.456877,-83.113432,https://maps.google.com/?cid=8558313972907611413,http://www.bnektar.com/,https://www.facebook.com/b.nektar,https://www.instagram.com/bnektar/,http://www.bnektar.com/,https://www.yelp.com/biz/b-nektar-meadery-ferndale,https://www.tripadvisor.com/Attraction_Review-g42201-d15113872,https://untappd.com/w/b-nektar-meadery/3344,http://glintcap.org/b-nektar/,,,MI-W-15055
Bee Well Mead & Cider,Producer,Active,Bellaire,Michigan,USA,44.9760455,-85.2098303,https://maps.google.com/?cid=18233410544073263210,http://beewellmeadery.com/,https://www.facebook.com/BeeWellMeadery,https://www.instagram.com/beewellmeadery/,http://beewellmeadery.com/,https://www.yelp.com/biz/bee-well-mead-and-cider-bellaire,https://www.tripadvisor.com/Attraction_Review-g41979-d11660893-Reviews-Bee_Well_Mead_Cider-Bellaire_Antrim_County_Michigan.html,https://untappd.com/w/bee-well-meadery/157480,http://glintcap.org/bee-well-meadery/,,,"MI-W-15183, MI-W-21481"
Bel Lago Winery,Producer,Active,Cedar,Michigan,USA,44.883859,-85.725118,https://www.google.com/maps?cid=4644233978350648994,http://bellago.com/,https://www.facebook.com/Bellagowinery,https://www.instagram.com/bellagowinery/,http://bellago.com/,https://www.yelp.com/biz/bel-lago-vineyards-and-winery-cedar,https://www.tripadvisor.com/Attraction_Review-g42056-d1748278,https://untappd.com/w/bel-lago/222677,http://glintcap.org/bel-lago-winery/,,,
Bennett's Orchard,Producer,Active,Ottawa Lake,Michigan,USA,41.769568,-83.681196,https://maps.google.com/?cid=13880658489152612822,http://www.bennettsorchard.com/,https://www.facebook.com/bennettsorchard,https://www.instagram.com/bennetts_orchard/,http://www.bennettsorchard.com/,https://www.yelp.com/biz/bennett-orchard-ottawa-lake,https://www.tripadvisor.com/Attraction_Review-g42565-d7151113,https://untappd.com/w/bennett-s-orchard/294365,,,,
bigLITTLE Wines,Producer,Active,Suttons Bay,Michigan,USA,44.915844,-85.654114,https://www.google.com/maps?cid=16371841338617952794,http://www.biglittlewines.com/,https://www.facebook.com/biglittlewines,https://www.instagram.com/biglittlewines/,http://www.biglittlewines.com/,https://www.yelp.com/biz/big-little-wines-suttons-bay,https://www.tripadvisor.com/Attraction_Review-g42743-d4674756,,https://glintcap.org/results/commercial/medalists/biglittle-wines/,,,
Winery at Black Star Farms,Producer,Active,Suttons Bay,Michigan,USA,44.933625,-85.636114,https://maps.google.com/?cid=7449332961214465656,http://www.blackstarfarms.com/,https://www.facebook.com/blackstarfarms,https://www.instagram.com/blackstarfarms/,http://www.blackstarfarms.com/,http://www.yelp.com/biz/black-star-farms-suttons-bay,http://www.tripadvisor.com/Attraction_Review-g42743-d1748288,https://untappd.com/w/black-star-farms/13650,http://glintcap.org/black-star-farms/,,,MI-W-110
Blake's Hard Cider Co.,Producer,Active,Armada,Michigan,USA,42.8503113,-82.9513855,https://maps.google.com/?cid=15855146673119620480,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,http://www.blakeshardcider.com/,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334,http://glintcap.org/blakes-hard-cider-co/,https://shopciders.com/blake_s_hard_cider,,MI-W-21035
Blustone Vineyards,Producer,Active,Lake Leelanau,Michigan,USA,44.993728,-85.69234,https://maps.google.com/?cid=3318747479087043203,http://www.blustonevineyards.com/,https://www.facebook.com/blustonevineyards,https://www.instagram.com/blustonevineyards/,http://www.blustonevineyards.com/,https://www.yelp.com/biz/blustone-vineyards-lake-leelanau,https://www.tripadvisor.com/Attraction_Review-g42381-d3746608,https://untappd.com/w/blustone-vineyards/219697,,,,MI-W-15158
Boss Cider Company,Producer,Active,Leslie,Michigan,USA,42.450331,-84.431688,https://maps.google.com/?cid=1969051789610674635,https://www.bosscider.com/,https://www.facebook.com/BossCider,https://www.instagram.com/bosscider/,https://www.bosscider.com/,https://www.yelp.com/biz/boss-cider-leslie,,https://untappd.com/w/boss-cider-company/445688,https://glintcap.org/results/commercial/medalists/boss-cider-company/,,,MI-W-21349
