PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
AK-W-15001,ALASKA MEADS LLC,RING OF FIRE MEADERY,178 E BUNNELL AVE,HOMER,AK,99603,KENAI PENINSULA
AK-W-21001,ALASKA BERRIES LLC,,48660 W POPPY LN,SOLDOTNA,AK,99669,
AK-W-21004,"DOUBLE SHOVEL CIDER COMPANY, LLC",,502 W 58TH AVE UNIT C AND D,ANCHORAGE,AK,99518,
AK-W-21005,BELL'S VINEYARD AND WINERY LLC,,11900 INDUSTRY WAY UNIT M-7,ANCHORAGE,AK,99515,ANCHORAGE
AK-W-21007,"TWO SEASONS MEAD, LLC",TWO SEASONS MEADERY,801 E 82ND AVE UNIT D-3,ANCHORAGE,AK,99518,
AK-W-21008,KING STREET BREWING LLC,KING STREET BREWING COMPANY,9050 KING ST,ANCHORAGE,AK,99515,
AK-W-21009,ALASKA PACIFC BEVERAGE COMPANY LLC,49TH STATE BREWING,721 W DEPOT DRIVE STE 49,ANCHORAGE,AK,99501,
AK-W-21010,DEVIL'S CLUB BREWING LLC,,100 N FRANKLIN ST,JUNEAU,AK,99810,
AK-W-21011,"BLACK SPRUCE BREWING COMPANY, LLC",BLACK SPRUCE FRUIT PROJECT,3290 PEGER RD STE B,FAIRBANKS,AK,99709,
AK-W-21012,BEARD BROTHER'S MEADERY LLC,,1223 SKYLINE DR,FAIRBANKS,AK,99712,
AK-W-21013,"OLD BEAR HONEY, LLC",OLD BEAR HONEY,35089 W GLENN HWY,SUTTON,AK,99674,MATANUSKA-SUSITNA
AK-W-21014,"LATITUDE 65 BREWING COMPANY, LLC",LAT 65 CIDERHOUSE,150 EAGLE AVE,FAIRBANKS,AK,99701,FNSB
AK-W-21015,"ODIN, INC.",ODIN MEAD,5290 DAVIS ST,HOMER,AK,99603,KENAI PENINSULA BOROUGH
AK-W-21016,BEARD BROTHERS HANDIWORKS LLC,THREE NORTHMEN,102 MAIN ST,HAINES,AK,99827,USA
AK-W-21017,"SWEETGALE WINES, LLC",SWEETGALE WINES,3657 MAIN ST,HOMER,AK,99603,KENAI PENINSULA BOROUGH
AK-W-21019,HIVE MIND MEADERY LLC,HIVE MIND MEADERY LLC,600 W 58TH AVE STE A,ANCHORAGE,AK,99515,
AK-W-21020,"RAVENS RING, LLC",RAVENS RING BREWING COMPANY,12150 INDUSTRY WAY UNIT Q-1,ANCHORAGE,AK,99515,
AK-W-21021,"TWISTER CREEK, INC.",ALASKA CIDERWORKS AND MEADERY,37083 S TALKEETNA SPUR RD,TALKEETNA,AK,99676,MATANUSKA SUSITNA
AK-W-21022,"DOUBLE SHOVEL CIDER COMPANY, LLC",DOUBLE SHOVEL CIDER KODIAK,101 CENTER AVE,KODIAK,AK,99615,
AK-W-21023,CSMASM LLC,61 DEGREES NORTH WINERY,5001 ARCTIC BLVD STE 102,ANCHORAGE,AK,99503,
AK-W-21024,ZIP KOMBUCHA LLC,ZIP KOMBUCHA,8161 SCHOON ST,ANCHORAGE,AK,99518,
AK-W-21025,SWIFTWATER WINE LLC,SWIFTWATER WINE,5766 N SOLITUDE STREET,WASILLS,AK,99623,
AK-W-21026,ALASKA LEGENDS LLC,ALASKA LEGENDS,319 DOCK ST,KETCHIKAN,AK,99901,
AK-W-273,"BEAR CREEK WINERY, LLC",,60203 BEAR CREEK DR,HOMER,AK,99603,KENAI PENINSULA
AL-W-11,"PERDIDO VINEYARDS OF GEORGIA, INC.",,22100 COUNTY RD,PERDIDO,AL,36562,BALDWIN
AL-W-13,JAHN MICHEL COPPEY AND JANIE R. COPPEY,WILLS CREEK VINEYARDS,10522 DUCK SPRINGS RD,ATTALLA,AL,35954,ETOWAH
AL-W-14,"WHITE OAK VINEYARDS, LLC",WHITE OAK VINEYARDS,1484 DRY HOLLOW RD,ANNISTON,AL,36207,CALHOUN
AL-W-15000,"FIRST FRUITS, L.L.C.",THE WINERY ON MAIN,613 2ND AVE,CLANTON,AL,35045,CHILTON
AL-W-15003,"CMC WINERY, INC.",MORGAN CREEK VINEYARDS,181 MORGAN CREEK LN,HARPERSVILLE,AL,35078,SHELBY
AL-W-15004,"JULES J.  BERTA VINEYARDS, LLC",,1409 DARDEN AVE,ALBERTVILLE,AL,35951,MARSHALL
AL-W-15005,"WHIPPOORWILL VINEYARD, L.L.C.",WHIPPOORWILL VINEYARD,4282 COUNTY RD 31,NOTASULGA,AL,36866,MACON
