Name,Type,City,State_Province,Country,Latitude,Longitude,Google,Website,Facebook,Instagram,Yelp,TripAdvisor,Untappd,GLINTCAP,ShopCiders,Alternate_Name,TTB
45 North Vineyard & Winery,Wine,Lake Leelanau,Michigan,USA,45.002103,-85.681943,https://maps.google.com/?cid=11817740184078021050,https://fortyfivenorth.com/,https://www.facebook.com/fortyfivenorth,https://www.instagram.com/45northwinery/,https://www.yelp.com/biz/45-north-vineyard-and-winery-lake-leelanau,https://www.tripadvisor.com/Attraction_Review-g42381-d1748282,https://untappd.com/w/45-north-vineyard-and-winery/45228,https://glintcap.org/45-north-vineyard-winery,,,MI-W-15052
JK's Farmhouse Ciders,Cider,Flushing,Michigan,USA,43.0274314,-83.9112091,https://maps.google.com/?cid=9785317642581217954,http://jksfarmhouseciders.com/,https://www.facebook.com/jksfarmhouseciders,https://www.instagram.com/jksfarmhouseciders/,https://www.yelp.com/biz/almar-orchards-flushing-2,,https://untappd.com/w/jks-farmhouse-ciders/2931,https://glintcap.org/jks-farmhouse-ciders,,"Almar Orchards, JK's Scrumpy",MI-W-21066
B. Nektar,Mead,Ferndale,Michigan,USA,42.456877,-83.113432,https://maps.google.com/?cid=8558313972907611413,http://www.bnektar.com/,https://www.facebook.com/b.nektar,https://www.instagram.com/bnektar/,https://www.yelp.com/biz/b-nektar-meadery-ferndale,https://www.tripadvisor.com/Attraction_Review-g42201-d15113872,https://untappd.com/w/b-nektar-meadery/3344,https://glintcap.org/b-nektar,,,MI-W-15055
Bee Well Mead & Cider,Mead,Bellaire,Michigan,USA,44.9760455,-85.2098303,https://maps.google.com/?cid=18233410544073263210,http://beewellmeadery.com/,https://www.facebook.com/BeeWellMeadery,https://www.instagram.com/beewellmeadery/,https://www.yelp.com/biz/bee-well-mead-and-cider-bellaire,https://www.tripadvisor.com/Attraction_Review-g41979-d11660893,https://untappd.com/w/bee-well-meadery/157480,https://glintcap.org/bee-well-meadery,,,"MI-W-15183, MI-W-21481"
Bel Lago Winery,Wine,Cedar,Michigan,USA,44.883859,-85.725118,https://maps.google.com/?cid=4644233978350648994,http://bellago.com/,https://www.facebook.com/Bellagowinery,https://www.instagram.com/bellagowinery/,https://www.yelp.com/biz/bel-lago-vineyards-and-winery-cedar,https://www.tripadvisor.com/Attraction_Review-g42056-d1748278,https://untappd.com/w/bel-lago/222677,https://glintcap.org/bel-lago-winery,,,MI-W-21354
Bennett's Orchard,Cider,Ottawa Lake,Michigan,USA,41.769568,-83.681196,https://maps.google.com/?cid=13880658489152612822,http://www.bennettsorchard.com/,https://www.facebook.com/bennettsorchard,https://www.instagram.com/bennetts_orchard/,https://www.yelp.com/biz/bennett-orchard-ottawa-lake,https://www.tripadvisor.com/Attraction_Review-g42565-d7151113,https://untappd.com/w/bennett-s-orchard/294365,,,Broken Barrel Hard Cider,MI-W-21350
Winery at Black Star Farms,Wine,Suttons Bay,Michigan,USA,44.933625,-85.636114,https://maps.google.com/?cid=7449332961214465656,http://www.blackstarfarms.com/,https://www.facebook.com/blackstarfarms,https://www.instagram.com/blackstarfarms/,https://www.yelp.com/biz/black-star-farms-suttons-bay,https://www.tripadvisor.com/Attraction_Review-g42743-d1748288,https://untappd.com/w/black-star-farms/13650,https://glintcap.org/black-star-farms,,,MI-W-110
Blake's Hard Cider Co.,Cider,Armada,Michigan,USA,42.8503113,-82.9513855,https://maps.google.com/?cid=15855146673119620480,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334,https://glintcap.org/blakes-hard-cider-co,https://shopciders.com/blake_s_hard_cider,,MI-W-21035
Blustone Vineyards,Wine,Lake Leelanau,Michigan,USA,44.993728,-85.69234,https://maps.google.com/?cid=3318747479087043203,http://www.blustonevineyards.com/,https://www.facebook.com/blustonevineyards,https://www.instagram.com/blustonevineyards/,https://www.yelp.com/biz/blustone-vineyards-lake-leelanau,https://www.tripadvisor.com/Attraction_Review-g42381-d3746608,https://untappd.com/w/blustone-vineyards/219697,,,,MI-W-15158
Boss Cider Company,Cider,Leslie,Michigan,USA,42.450331,-84.431688,https://maps.google.com/?cid=1969051789610674635,https://www.bosscider.com/,https://www.facebook.com/BossCider,https://www.instagram.com/bosscider/,https://www.yelp.com/biz/boss-cider-leslie,,https://untappd.com/w/boss-cider-company/445688,https://glintcap.org/boss-cider-company,,,MI-W-21349
Bowers Harbor Vineyards,Wine,Traverse City,Michigan,USA,44.891683,-85.517257,https://maps.google.com/?cid=4919708806846257834,https://www.bowersharbor.com/,https://www.facebook.com/bowersharborvineyards,https://www.instagram.com/bowersharborvineyards/,https://www.yelp.com/biz/bowers-harbor-vineyards-traverse-city,https://www.tripadvisor.com/Attraction_Review-g42758-d2235194,https://untappd.com/w/bowers-harbor-vineyards/16919,,,,
Cherry Creek Cellars,Wine,Albion,Michigan,USA,42.265117,-84.648542,https://maps.google.com/?cid=5214593983043043226,http://www.cherrycreekwine.com/,https://www.facebook.com/cherrycreekcellars,https://www.instagram.com/cherrycreekcellars/,https://www.yelp.com/biz/cherry-creek-cellars-parma,,https://untappd.com/w/cherry-creek-winery/231391,https://glintcap.org/cherry-creek-cellars,,,MI-W-21274
Cherry Republic,Beer,Glen Arbor,Michigan,USA,44.8963208,-85.9892911,https://www.google.com/maps?cid=10290853298971690653,http://www.cherryrepublic.com/,https://www.facebook.com/cherryrepublic,https://www.instagram.com/cherryrepublic/,,,https://untappd.com/CherryRepublic,,,Cherry Public House,MI-W-177
Corey Lake Orchards,Cider,Three Rivers,Michigan,USA,41.919986,-85.718213,https://maps.google.com/?cid=6754574994081328972,http://www.coreylakeorchards.com/,https://www.facebook.com/Corey-Lake-Orchards-131227153607072,https://www.instagram.com/coreylakeorchards/,https://www.yelp.com/biz/corey-lake-orchards-three-rivers,https://www.tripadvisor.com/Attraction_Review-g42753-d7709570,https://untappd.com/w/corey-lake-orchards/170827,https://glintcap.org/corey-lake-orchards,,,MI-W-21065
Crane's Pie Pantry,Wine,Fennville,Michigan,USA,42.593558,-86.136817,https://maps.google.com/?cid=9243637306840574589,http://cranespiepantry.com/,https://www.facebook.com/cranespiepantryandwinery,https://www.instagram.com/cranespiepantry/,https://www.yelp.com/biz/cranes-pie-pantry-restaurant-and-winery-fennville,https://www.tripadvisor.com/Restaurant_Review-g42198-d636364,https://untappd.com/w/cranes-winery/166328,,,,MI-W-21054
Farmhaus Cider Co.,Cider,Hudsonville,Michigan,USA,42.936623,-85.909009,https://maps.google.com/?cid=11406839464047037046,http://farmhauscider.com/,https://www.facebook.com/FarmhausCiderCo,https://www.instagram.com/farmhauscider/,https://www.yelp.com/biz/farmhaus-cider-co-hudsonville,https://www.tripadvisor.com/Restaurant_Review-g42328-d19805781,https://untappd.com/w/farmhaus-cider-co/166600,https://glintcap.org/farmhaus-cider-co,https://shopciders.com/farmhaus_cider_co,,MI-W-21384
Fenn Valley Vineyards,Wine,Fennville,Michigan,USA,42.577827,-86.144125,https://maps.google.com/?cid=4038197022279286991,https://www.fennvalley.com/,https://www.facebook.com/FennValley,https://www.instagram.com/fennvalley/,https://www.yelp.com/biz/fenn-valley-vineyards-and-wine-cellar-fennville,https://www.tripadvisor.com/Attraction_Review-g42198-d1748271,https://untappd.com/w/fenn-valley-vineyards/251868,https://glintcap.org/fenn-valley-vineyards,,,MI-W-15194
Fourth Coast Ciderworks,Cider,Lake Orion,Michigan,USA,42.7457157,-83.2832693,https://maps.google.com/?cid=16743566446213207343,https://fourthcoastciderworks.com/,https://www.facebook.com/fourthcoastciderworks,https://www.instagram.com/4cciderworks/,,https://www.tripadvisor.com/Attraction_Review-g42384-d21375933,https://untappd.com/w/fourth-coast-ciderworks/325571,https://glintcap.org/fourth-coast-ciderworks,,,MI-W-21206
Gitche Gumee Ciderworks,Cider,Hancock,Michigan,USA,47.13051,-88.585233,https://maps.google.com/?cid=18179674516069463473,http://www.gitchegumeeciderworks.com/,https://www.facebook.com/GitcheGumeeCiderworks,https://www.instagram.com/gitchegumeeciderworks/,,,https://untappd.com/w/gitche-gumee-ciderworks/366728,,,,MI-W-21193
Green Bird Cellars,Wine,Northport,Michigan,USA,45.108463,-85.65037,https://maps.google.com/?cid=10177780962923415301,http://www.greenbirdcellars.com/,https://www.facebook.com/greenbirdcellars,https://www.instagram.com/greenbirdcellars/,https://www.yelp.com/biz/green-bird-cellars-and-organic-farms-northport,https://www.tripadvisor.com/Attraction_Review-g42531-d3473816,https://untappd.com/w/green-bird-organic-cellars/275693,https://glintcap.org/crows-hard-cider,https://shopciders.com/green_bird_organic_cellars,,MI-W-15060
Blackgrass Ciderworks,Cider,Birmingham,Michigan,USA,42.543611,-83.195536,https://maps.google.com/?cid=706094858439654713,https://www.blackgrasscider.com/,https://www.facebook.com/blackgrasscider,https://www.instagram.com/BlackgrassCider/,https://www.yelp.com/biz/griffin-claw-brewing-company-birmingham,https://www.tripadvisor.com/Restaurant_Review-g41996-d4565497,https://untappd.com/BlackgrassCiderworks,https://glintcap.org/blackgrass-ciderworks,https://shopciders.com/blackgrass_ciderworks,Griffin Claw Brewing Company,MI-W-21045
Kuhnhenn Brewing Co.,Beer,Warren,Michigan,USA,42.527768,-83.046765,https://maps.google.com/?cid=15962690616595599148,http://www.kbrewery.com/,https://www.facebook.com/KuhnhennBrewingCo,https://www.instagram.com/kuhnhennbrewing/,https://www.yelp.com/biz/kuhnhenn-brewing-warren,https://www.tripadvisor.com/Restaurant_Review-g42794-d1198782,https://untappd.com/w/kuhnhenn-brewing-company/4557,https://glintcap.org/kuhnhenn-brewing,,,MI-W-21080
Mawby Vineyards,Wine,Suttons Bay,Michigan,USA,44.913676,-85.65229,https://maps.google.com/?cid=2471409306317185463,https://mawby.wine/,https://www.facebook.com/MAWBYwinery,https://www.instagram.com/mibubbly/,https://www.yelp.com/biz/l-mawby-vineyards-suttons-bay,https://www.tripadvisor.com/Attraction_Review-g42743-d2290474,https://untappd.com/w/mawby/272550,https://glintcap.org/mawby-vineyards,,,MI-W-43
Lansing Brewing Company,Beer,Lansing,Michigan,USA,42.736982,-84.545555,https://maps.google.com/?cid=1589907615439698736,http://www.lansingbrewingcompany.com/,https://www.facebook.com/LansingBrewing,https://www.instagram.com/kuhnhennbrewing/,https://www.yelp.com/biz/lansing-brewing-company-lansing,https://www.tripadvisor.com/Restaurant_Review-g42391-d8659918,https://untappd.com/w/lansing-brewing-company/213602,,,,MI-W-21117
Left Foot Charley,Wine,Traverse City,Michigan,USA,44.756339,-85.645097,https://maps.google.com/?cid=16198693468177995981,http://www.leftfootcharley.com/,https://www.facebook.com/LeftFootCharleyWinery,https://www.instagram.com/leftfootcharley/,https://www.yelp.com/biz/left-foot-charley-traverse-city,https://www.tripadvisor.com/Attraction_Review-g42758-d1748277,https://untappd.com/w/left-foot-charley/8694,https://glintcap.org/left-foot-charley,https://shopciders.com/left_foot_charley,,MI-W-15011
Lehman's Orchards,Cider,Buchanan,Michigan,USA,41.8286715,-86.3576005,https://maps.google.com/?cid=15791562542672343306,http://www.lehmansfarmhouse.com/,https://www.facebook.com/LehmansFarmHouse/,https://www.instagram.com/lehmansfarmhouse/,https://www.yelp.com/biz/lehmans-farmhouse-buchanan,https://www.tripadvisor.com/Restaurant_Review-g42026-d13999393,https://untappd.com/w/lehmans-orchard/8251,https://glintcap.org/lehmans-orchards,,Lehman's Orchard,MI-W-21145
Mackinaw Trail Winery & Brewery,Wine,Petoskey,Michigan,USA,45.327828,-84.961586,https://maps.google.com/?cid=4652284355507438634,http://www.mackinawtrailwinery.com/,https://www.facebook.com/MackinawTrailWinery,https://www.instagram.com/macktrailwinery/,https://www.yelp.com/biz/mackinaw-trail-winery-petoskey-3,https://www.tripadvisor.com/Attraction_Review-g42590-d6687192,https://untappd.com/w/mackinaw-trail-brewing-company/158449,,https://shopciders.com/mackinaw_trail_winery,,MI-W-21016
Meckley's Cidery,Cider,Cement City,Michigan,USA,42.058904,-84.405962,https://maps.google.com/?cid=3784686605669895808,http://flavorfruitfarm.com/,https://www.facebook.com/flavorfruitfarm/,https://www.instagram.com/meckleysflavorfruitfarm/,https://www.yelp.com/biz/meckleys-flavor-fruit-farm-somerset-ctr,https://www.tripadvisor.com/Restaurant_Review-g42713-d7291582,https://untappd.com/w/meckleys-cidery/37420,https://glintcap.org/meckleys-cidery,,,MI-W-21004
Motor City Brewing Works,Beer,Detroit,Michigan,USA,42.351831,-83.066087,https://maps.google.com/?cid=3742418193642658662,http://www.motorcitybeer.com/,https://www.facebook.com/motorcitybeer/,https://www.instagram.com/motorcitybrewingworks/,https://www.yelp.com/biz/motor-city-brewing-works-detroit,https://www.tripadvisor.com/Restaurant_Review-g42139-d812243,https://untappd.com/w/motor-city-brewing-works/1727,,,,MI-W-166
Northern Natural Cider House & Winery,Cider,Kaleva,Michigan,USA,44.3464985,-86.1020865,https://maps.google.com/?cid=17749341957373928380,http://www.northernnaturalwinery.com/,https://www.facebook.com/northernnaturalwinery,https://www.instagram.com/northernnaturalciderhouse/,,,https://untappd.com/w/northern-natural-cider-house/28609,https://glintcap.org/northern-natural-winery,,,MI-W-15054
